Year,Race,Pos,No,Driver,Car,Laps,Time/Retired,PTS,Country,Circuit,Type,Direction,Location,Last length used,Turns,Grands Prix,Grands Prix held
2000,48,3,5,Heinz-Harald Frentzen FRE,Jordan Mugen Honda,71.0,+42.268s,4.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,3,5,Heinz-Harald Frentzen FRE,Jordan Mugen Honda,71.0,+42.268s,4.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,4,6,Jarno Trulli TRU,Jordan Mugen Honda,71.0,+72.780s,3.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,4,6,Jarno Trulli TRU,Jordan Mugen Honda,71.0,+72.780s,3.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,5,9,Ralf Schumacher RSC,Williams BMW,70.0,+1 lap,2.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,5,9,Ralf Schumacher RSC,Williams BMW,70.0,+1 lap,2.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,6,10,Jenson Button BUT,Williams BMW,70.0,+1 lap,1.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,6,10,Jenson Button BUT,Williams BMW,70.0,+1 lap,1.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,7,19,Jos Verstappen VER,Arrows Supertec,70.0,+1 lap,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,7,19,Jos Verstappen VER,Arrows Supertec,70.0,+1 lap,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,8,18,Pedro de la Rosa DLR,Arrows Supertec,70.0,+1 lap,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,8,18,Pedro de la Rosa DLR,Arrows Supertec,70.0,+1 lap,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,9,23,Ricardo Zonta ZON,BAR Honda,69.0,+2 laps,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,9,23,Ricardo Zonta ZON,BAR Honda,69.0,+2 laps,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,10,21,Gaston Mazzacane MAZ,Minardi Fondmetal,69.0,+2 laps,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,10,21,Gaston Mazzacane MAZ,Minardi Fondmetal,69.0,+2 laps,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,NC,8,Johnny Herbert HER,Jaguar Cosworth,51.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,8,Johnny Herbert HER,Jaguar Cosworth,51.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,NC,20,Marc Gene GEN,Minardi Fondmetal,31.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,20,Marc Gene GEN,Minardi Fondmetal,31.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
